label	lp_text	title
consistent	ETCカードは、有料道路の料金所をノンストップでスムーズに通過できる、通行料金の決済専用ICカードです。通行料金100円につき1ポイントが貯まる、お得な楽天ETCカードのメリットや使い方、作り方をご紹介します。	ETCカード年会費無料/楽天カード
inconsistent	山梨県南アルプス市で賃貸物件を探すなら【スマホでCHINTAI】賃貸アパート・マンションなど不動産賃貸の物件情報を毎日更新！豊富な検索条件で南アルプス市内の部屋探しをサポート。お部屋探し、賃貸住宅情報はもちろん、不動産会社・家賃相場の検索も！【CHINTAIアプリ】【LINEで探すCHINTAIエージェント】	セキュリティを配慮した女性向け賃貸物件や女性に人気の賃貸マンション・南アルプス市賃貸が充実
consistent	長崎県長崎市で賃貸物件を探すなら【スマホでCHINTAI】賃貸アパート・マンションなど不動産賃貸の物件情報を毎日更新！豊富な検索条件で長崎市内の部屋探しをサポート。お部屋探し、賃貸住宅情報はもちろん、不動産会社・家賃相場の検索も！【CHINTAIアプリ】【LINEで探すCHINTAIエージェント】	約100種の条件からあなたにマッチした長崎市の賃貸マンションを選べる・長崎県の物件多数掲載。
consistent	＜未経験OKの案件多数！＞関東の派遣、人材派遣のお仕事・求人情報なら【リクナビ派遣】全国30000件以上の人材派遣の情報から、時給1600円以上、オフィスワーク、残業なし等の条件であなたにピッタリのお仕事が探せます！	【スタッフ】の派遣登録なら
consistent	こちらはニトリの公式通販ニトリネット、デスクチェア・オフィスチェア・ワークチェアの商品一覧です。人気のデスクチェア・オフィスチェア・ワークチェアを多数ご紹介。店舗共通ニトリメンバーズカードでポイント獲得。	テレワーク用椅子・ワークチェアをお探しならこちら・公式 ニトリ/NITORI インテリア家具通販。
consistent	タブレットで学ぶ小学生向け通信教育「スマイルゼミ」の「3年生」をご紹介しています。	初めてのタブレット学習(小学校3年生)
consistent	FEMMUE ＜ファミュ＞ 公式オンラインストアの化粧水一覧ページです。繊細にブレンドされた美しい天然の香りの商品をご用意しています。	FEMMUE スーパーファイン モイスチャーミストの通販。いつの時代も変化する女性は美しい。
inconsistent	楽天カード アカデミーの新規入会特典ご案内ページ。18歳から28歳までの学生の方にご入会いただけます。一部の楽天グループサービスご利用時に、通常の楽天カードよりもポイントが貯まる特典付きのお得なクレジットカードです。	【楽天カード】楽天18歳
inconsistent	新庄剛志のCMでおなじみのCHINTAIでお部屋探し！群馬県の賃貸・部屋探し情報はCHINTAI。群馬県の賃貸マンション・賃貸アパートなど不動産賃貸の物件情報を毎日更新！豊富な検索条件で群馬県の部屋探しをサポート。お部屋探し、賃貸住宅情報はもちろん、不動産会社・家賃相場の検索もCHINTAI！【スマホでCHINTAI】	初期費用の問い合わせも簡単。CHINTAIが運営する女性向け群馬県賃貸アパート物件を多数ご用意！
consistent	3階のある暮らし「超空間の家」空間に価値を。自由設計、新築・注文住宅のアキュラホームグループの3階建てが選ばれる理由、人気住宅会社ランキング No.1（2022年度版／人気住宅会社・ハウスメーカー部門）	都市生活快適空間設計
inconsistent	個人年金、いつから・どうやってはじめる？老後資金の積立の必要性、選び方のポイントなどをご紹介。資料請求・相談無料、国内最大級の保険市場は、あなたの保険選びをバックアップいたします。（東証：8798）	個人年金保険/一般個別年金保険の高齢者で認知症を患ってる人は5人に1人と推察されています。
consistent	不動産の査定なら、【住友不動産販売】にお任せください!!住友不動産販売は全国に広がる営業ネットワークによる「地域密着の営業体制」、そして広告戦略からお取引後のアフターフォローまで一貫した「マンツーマンの営業体制」によりお客様にご満足のいただけるサービスをご提供いたします。	【清瀬市】の不動産売買
consistent	FEMMUE ＜ファミュ＞ 公式オンラインストアのシートマスク一覧ページです。繊細にブレンドされた美しい天然の香りの商品をご用意しています。	FEMMUE(ドリームグロウマスク)rr
consistent	人気カードローンを徹底比較！最短即日融資でお金が借りられるキャッシングを厳選！収入証明書不要で一定期間無利息で借入可能な消費者金融も！既に借入がある方も、秘密で借りたい方も、あなたにオススメのカードローンは？	【カードローン比較サイト】低金利？発行スピード？あなたの目的に合ったカード会社が見つかる。
consistent	今おすすめの人気の生命(死亡)保険ランキングを発表！東証プライム市場上場企業が運営する国内最大級の保険選びサイト『保険市場』では、実際にネットや通販で申し込まれた商品をランキングでご紹介！	死亡保険のみおすすめ
consistent	大分県別府市で賃貸物件を探すなら【スマホでCHINTAI】賃貸アパート・マンションなど不動産賃貸の物件情報を毎日更新！豊富な検索条件で別府市内の部屋探しをサポート。お部屋探し、賃貸住宅情報はもちろん、不動産会社・家賃相場の検索も！【CHINTAIアプリ】【LINEで探すCHINTAIエージェント】	【別府市】賃貸アパート情報
consistent	栃木県の女性の一人暮らしにぴったりな賃貸マンション・アパートを探すなら【Woman.CHINTAI】がおすすめ！セキュリティを配慮した女性向け賃貸物件や、女性に人気の賃貸マンション・アパートが充実！｜女性の一人暮らしを応援♪女性向け賃貸物件サイト【Woman.CHINTAI】	栃木の賃貸物件をお探しの方へ
inconsistent	クレストシティタワーズ浦安のマンション概要です。クレストシティタワーズ浦安（所在地：千葉県市川市島尻、最寄駅：東京メトロ東西線「浦安」駅）にお住まいになりたい方向けに写真、売出中物件、賃貸物件、相場情報などをご覧いただけたり、ご所有されている方向けに無料査定、売却相談、貸主相談をお受けしております。クレストシティタワーズ浦安の売却・査定・購入（中古マンション）・賃貸を検討されている方は、住友不動産販売にご相談ください。	クレストシティタワーズ浦安の結婚式場情報!ご購入・ご売却の相談はこちら。
consistent	人気カードローンを徹底比較！最短即日融資でお金が借りられるキャッシングを厳選！収入証明書不要で一定期間無利息で借入可能な消費者金融も！既に借入がある方も、秘密で借りたい方も、あなたにオススメのカードローンは？	大手消費者金融比較ランキング2022
consistent	こちらはニトリの公式通販ニトリネット、食器棚・キッチン収納の商品一覧です。人気の食器棚・キッチン収納を多数ご紹介。店舗共通ニトリメンバーズカードでポイント獲得。	公式インスタグラムでキッチン収納のおすすめ特集!ニトリのキッチン収納は品揃えが豊富。
consistent	こちらはニトリの公式通販ニトリネット、折りたたみマットレスの商品一覧です。人気の折りたたみマットレスを多数ご紹介。店舗共通ニトリメンバーズカードでポイント獲得。	(簡易マットレス)買うなら
inconsistent	ライオンズ横濱弥生台レジデンスのマンション概要です。ライオンズ横濱弥生台レジデンス（所在地：神奈川県横浜市泉区弥生台、最寄駅：相鉄いずみ野線「弥生台」駅）にお住まいになりたい方向けに写真、売出中物件、賃貸物件、相場情報などをご覧いただけたり、ご所有されている方向けに無料査定、売却相談、貸主相談をお受けしております。ライオンズ横濱弥生台レジデンスの売却・査定・購入（中古マンション）・賃貸を検討されている方は、住友不動産販売にご相談ください。	ライオンズ横濱弥生台レジデンスの求人、転職ならレジデンス。ご購入・ご売却の相談はこちら。
consistent	こちらはニトリの公式通販ニトリネット、ソファの商品一覧です。人気のソファを多数ご紹介。店舗共通ニトリメンバーズカードでポイント獲得。	ソファーを通販で買うなら
consistent	今おすすめの人気の生命(死亡)保険ランキングを発表！東証プライム市場上場企業が運営する国内最大級の保険選びサイト『保険市場』では、実際にネットや通販で申し込まれた商品をランキングでご紹介！	2022年死亡保険ランキング
consistent	FEMMUE ＜ファミュ＞ 公式オンラインストアの洗い流すスペシャルケア一覧ページです。繊細にブレンドされた美しい天然の香りの商品をご用意しています。	FEMMUEの人気洗顔料を試してみませんか?・美容賢者の間で話題沸騰中の人気コスメブランド。
inconsistent	入院や手術経験のある方も入りやすいオリックス生命の終身保険ライズ・サポート・プラスのご紹介です。	１口３，000円から自分で選べる
consistent	宮崎県都城市で賃貸物件を探すなら【スマホでCHINTAI】賃貸アパート・マンションなど不動産賃貸の物件情報を毎日更新！豊富な検索条件で都城市内の部屋探しをサポート。お部屋探し、賃貸住宅情報はもちろん、不動産会社・家賃相場の検索も！【CHINTAIアプリ】【LINEで探すCHINTAIエージェント】	【都城市】賃貸アパート情報
consistent	【すかいらーくの宅配】は、ガスト・バーミヤン・ジョナサン・夢庵・藍屋・魚屋路から出来立てのレストランの味をお届けします。配達エリア、メニュー、キャンペーンなどの情報をご覧いただけます。	ガストメニュークーポンはこちら
inconsistent	くらべればメディケア生命！医療保険も死亡保険も！メディケア生命保険の一生涯保険料があがらない、もっとフィットできる医療保険「新メディフィットＡ」と、お手頃な保険料で安心の保障内容の定期保険「メディフィット定期」のご紹介です。	都府県民共済(大阪圏)の保険料を無料で簡単一括見積もり・あなたの保険料はどのくらい？
consistent	GRL(グレイル)公式通販サイトのボトムス商品一覧です。流行のアイテムが何でも手に入る日本最大級のファストファッション通販サイト。GRL グレイルはレディースファッション洋服通販サイトです。	フレア+スカートで着映えコーデ
consistent	香川県丸亀市で賃貸物件を探すなら【スマホでCHINTAI】賃貸アパート・マンションなど不動産賃貸の物件情報を毎日更新！豊富な検索条件で丸亀市内の部屋探しをサポート。お部屋探し、賃貸住宅情報はもちろん、不動産会社・家賃相場の検索も！【CHINTAIアプリ】【LINEで探すCHINTAIエージェント】	丸亀市の賃貸アパート情報なら
inconsistent	くらべればメディケア生命！医療保険も死亡保険も！メディケア生命保険の一生涯保険料があがらない、もっとフィットできる医療保険「新メディフィットＡ」と、お手頃な保険料で安心の保障内容の定期保険「メディフィット定期」のご紹介です。	ニッセイみらいのカタチ
consistent	マイナンバーカードを発行&マイナポイントのお申し込みをし、楽天カードをご利用いただくと最大5,000ポイントプレゼント！	年会費永年無料の楽天マイナポイント楽天限定！好みに合わせて付帯サービスをカスタマイズできる
inconsistent	電子レンジ・トースターを買うならジャパネット公式サイト！分割金利手数料負担や下取りサービス、お得なセット購入など、ジャパネットならではの特典が満載！人気商品も長期保証が選べて購入後も安心。厳選した電子レンジ・トースターの購入はジャパネットへ。	オープントースター(公式)
inconsistent	医療保険のことならメディケア生命保険株式会社(住友生命のグループ会社)。お手頃な保険料でサポートする医療保険をお届けします。	【公式】条件緩和型保険保険なら
