text1	text2	score
2022年5月融資ローンランキング	まるでアクセサリーの医療機器	1.0
対象コースが最大10,000円割引	pH標準液 100-7／ミスミ	1.0
鉄の女の涙】イッキ見	【通販限定】顔専用のムダ毛ケア	1.0
掛金の税制優遇措置が受けられる	本気で痩せたいなら、価格より質	1.0
冬の新作トップスが充実	60秒登録で最新求人をチェック	1.0
(Casselini)がアウトレット価格	ジャイアンツ戦を配信	1.0
・ゲーム】2週間お試し無料	心押台固定用レバー通販／ミスミ	1.0
インテリア・収納・ふとん・家具	ビスのレディースカーディガン	1.0
リクルートスタッフィング	プロポーズ】2週間お試し無料	1.0
3月27日(土)23:30～Huluで生中継	25歳未満限定いつでも5％還元中	1.0
久喜市の新築分譲マンション	Hulu独占配信。初回2週間無料	1.0
ガス給湯器／最短2時間	キャッシングランキング1位は？	1.0
キスマイドラマもキスどきも配信	2021お金を借りる審査ランキング	1.0
何度も見返せる映像授業で学力UP	なるほど、レクサスにこの持ち方	1.0
就活準備を支援《リクナビ2022》	エバーグロウクッション／FEMMUE	1.0
本格的なスポーツカーを手軽に	SNS用もビジネス用も	1.0
ル)】エンゼルスVSマーリンズ	静岡と広島の旅行なら	1.0
今なら初回購入に限り5%OFF	KADOKAWAが創る未来の学校	1.0
(SMITH'S AMERICAN)が最大70%OFF	2021消費者金融ランキング	1.0
月々3,000円／ニキビ肌を治す	動画配信サービス15社を徹底比較	1.0
商品工事も無料10年保証付で安心	秘境絶景ツアー特集	1.0
最高視聴率49.4%の大人気ドラマ	汚れもしっかり落とす	1.0
本体価格 ¥590,000	カード1枚でスマートな生活を	1.0
紀陽銀行でローン借り入れ	スミテックリキッドH5／ミスミ	1.0
サッと艶肌クッションコンパクト	券面デザインが選べる	1.0
"公式ファンクラブ""a-i""限定価格"	カビや雑菌を除菌剤でキレイに	1.0
送料弊社負担 7DAYSキャンペーン	U-NEXTで4ヵ月連続ライブ配信	1.0
ロジー専門学校＼スタサプ進路	契約社員 備品付き寮完備	1.0
今だけ買取金額120％にアップ中	ちゅーんず】イッキ見	1.0
静岡県の工場・製造求人サイト	ダフニーアルファウォーム	1.0
