industry_type	keyword	title_1	title_2	title_3	description_1	description_2	score
EC	セザンヌ リップ ティント	《セザンヌ》の公式通販	[MASK_16]		1900円以上注文で送料無料！人気コスメで『ずっと安心、ずっとキレイ』をいっぺんに叶えて！	カテゴリ検索やブランド検索のみならず、お悩みから検索もできる！	85.51537111740309
金融	カードローン	とにかく急ぎで借りたい方へ	カードローンランキング2021秋版	即日融資安心カードローン	最短1時間融資OK・免許証だけで内緒で借入。【カードローン比較サイト満足度No.1】	24時間Web完結で来店不要なカードローン。初めての方も安心・コンビニATMで借入OKなので便利	63.712572005140416
EC	キャン メイク メルティー ルミナス ルージュ	【公式】[MASK_0] ONLINE	[MASK_1]([MASK_23])公式通販	1900円以上ご購入で《送料無料》	1000円以下のプチプラコスメなら[MASK_1]／公式通販限定！新商品をいち早くGET・廃盤品も入手可能	《1.5mm極細》クリーミータッチライナー新色登場/ウォータープルーフで汗 皮脂 擦れに強く高発色	70.56499655113373
EC	レディース レインブーツ	【公式】[MASK_8]／[MASK_2]	RainCampaign開催中	雨の日でもおしゃれを楽しむなら	キャンペーン対象商品を含む16,000円以上お買い上げでAIGLEオリジナル今治タオルプレゼント！	雨の日も楽しく、デザイン性と機能性に優れたコレクションとともに、レイニーシーズンを満喫して	62.99133404037506
その他	ピザ宅配	[MASK_11]の[MASK_17]／公式	セットで480円（税込）お得		対象商品をご注文で人気サイドメニューが3種類入ったトリプルミックスをプレゼント！		53.03897209196335
金融	消費者金融	消費者金融ランキング2021夏版	消費者金融各社の条件を徹底比較		最短60分融資身内にバレない消費者金融”消費者金融ランキング”24時間スマホ完結申込		58.2396661734566
EC	セザンヌ 毛穴 カバー コンシーラー	《セザンヌ》の公式通販	どこよりも早く購入できる		新作・限定コスメをいち早くゲット！お探しのセザンヌ廃番品もここで見つかるかも。	カテゴリ検索やブランド検索のみならず、お悩みから検索もできる！	68.66404066221268
金融	マイカー ローン おすすめ	スグ借りたい。カードローン比較	24時間土日祝 最短1時間融資可能		"100社以上から""顧客満足度""で厳選低金利・安心・簡単審査ですぐ借りれる"		69.01580818999572
その他	piza	[MASK_11]の[MASK_17]／公式	濃厚だけどまろやかな味わい		バターチキンカレーが入った4つの味 1,980円（2,138円税込）		67.14021401479647
金融	消費者金融	消費者金融ランキング2021年4月	今日中にどうしてもお金借りたい		最短1時間融資可能な消費者金融ランキング2021!家族に秘密で借りれる？スマホ完結申込		64.60452377950355
金融	お金 借りたい	今すぐどうしてもお金を借りたい	女性でも安心してすぐ借りれる		はじめて借りる方も安心！最短1時間で誰にもバレずにお金を借りる！最短30分審査		85.6189389135671
金融	キャッシング カード	キャッシングランキング2021春版	どうしても急ぎで借りたい方必見		最短1時間でキャッシングOK。免許証でキャッシングが可能！周囲に内緒でキャッシング.		64.97659987440915
金融	ローン 消費者金融	消費者金融ローンランキング	免許証だけで借りれる消費者金融		最短1h融資可能。カードローンランキング≪24hスマホ完結申込≫融資可能か1秒で診断！		62.64380508826869
金融	金融業	今日中に借りれる金融はどこ？	どうしても今すぐ借りたい方へ		"1時間融資も可能な金融会社ランキング2021""スマホ完結""金融ローンが融資可能か1秒診断"		57.62061175372909
金融	お金を借りたい	お金を急ぎでを借りるならどこ？	どうしても今すぐ借りたい方へ		最短60分でお金を借りる！旦那に内緒でお金を借入可能.【今すぐにお金を借りる】		75.85832428239686
その他	長岡市 ピザーラ	[MASK_11]の[MASK_17]／公式	セットで480円（税込）お得		対象商品をご注文で人気サイドメニューが3種類入ったトリプルミックスをプレゼント！		81.45058323917563
金融	今 すぐ 金 が ほしい	すぐにお金を借りたい方へ	免許証だけで最短1時間融資可能		最短60分で融資可能。カードローンランキング≪24hネット完結申込≫融資可能か1秒診断		34.97823503284985
その他	宮崎 ピザーラ	[MASK_11]の[MASK_17]／公式	セットで480円（税込）お得		対象商品をご注文で人気サイドメニューが3種類入ったトリプルミックスをプレゼント！		77.8578498511527
金融	お金 借りたい	どうしても今すぐ借りたい方へ	お金借りたいけど審査が不安なら		家族に内緒で免許証だけで最短60分でお金を借りる！最短30分審査。今すぐお金を借りる		70.8958542107732
金融	今すぐ借りれる キャッシング	キャッシング即日融資徹底比較	免許証だけでキャッシングOK		最短1h融資可能！カードローンランキング≪24hスマホ完結申込≫融資可能か1秒診断		80.1953751937225
その他	ピザーラ 函館	[MASK_11]の[MASK_17]／公式	お得なABCセット販売中	冬のお得なABCセット	最大1060円（税込）お得のセットメニューがおすすめ！	最安300円（税込）～選べるお得なセット。	66.93069332767774
その他	福岡 ピザーラ	[MASK_11]の[MASK_17]／公式	お得なABCセット販売中	ピザーラお届け	最大1060円（税込）お得のセットメニューがおすすめ！	最安300円（税込）～選べるお得なセット。	88.22885978822916
EC	キャン メイク アイ ライナー 新作	【公式】[MASK_0] ONLINE	#キャンメイク ＃プチプラコスメ	CANMAKEのアイテムが約300点以上	《10th》マシュマロフィニッシュパウダー/[MASK_1]総選挙第1位！美容液成分配合&オールシーズンOK	【数量限定】[MASK_23]商品合計3000円以上購入でノベルティ貰える！会員特典／誕生月500P進呈	83.34024055896668
EC	メイク アップ ソリューション クーポン	[MASK_20]の新サイトOPEN	[MASK_16]		定番からレアアイテムまでどこよりも早く掲載中。1900円以上の購入で送料無料！		77.49272266179725
EC	キャン メイク ポア レス エアリー ベース	【公式】[MASK_0] ONLINE	[MASK_1]([MASK_23])公式通販	1900円以上ご購入で《送料無料》	1000円以下のプチプラコスメなら[MASK_1]／公式通販限定！新商品をいち早くGET・廃盤品も入手可能	《1.5mm極細》クリーミータッチライナー新色登場/ウォータープルーフで汗 皮脂 擦れに強く高発色	53.261191490673
金融	外国人 カードローン	外国人の方への融資も可能ローン	免許証だけで最短1時間融資可能		最短1h融資可能！カードローンランキング≪24hネット完結申込≫融資可能か1秒で診断。		84.24964946063625
金融	即日融資	即日融資で借りたい方はこちら	どうしても今すぐに借りたい		22時迄のお申込で最短即日融資OK。融資可能か1秒診断【免許証だけでOK】最短1時間融資		85.303505239022
その他	pizza	[MASK_11]の[MASK_17]／公式	35周年の感謝を込めて		最大1060円（税込）お得なABCセット販売中！		68.82478879295269
金融	金 借りる なら	【必見】最短即日でお金を借りる	お金借りたいけど審査不安なら		"私もカードローンを借りられる？内緒でお金借りる""スマホ完結申込""融資可能か1秒診断."		63.119813764372616
金融	お金 借りたい	お金借りたいけど審査が不安なら	どうしても今すぐ借りたい方へ		最短1時間でお金借りれる!旦那に内緒でお金の借入も可能【今すぐお金借りる】来店不要		85.85472215398772
その他	日立市 ピザーラ	[MASK_11]の[MASK_17]／公式	[MASK_17]のカニ、解禁		[MASK_17]カニマヨが入った４つの味！ カニのよくばりクォーター税抜1980円		93.17275310292263
その他	姫路市 ピザーラ	[MASK_11]の[MASK_17]／公式	35周年の感謝を込めて		最大1060円（税込）お得なABCセット販売中！		76.21938843365358
金融	外国人 カードローン	外国人の方への融資も可能ローン	免許証だけで最短1時間融資可能		最短1h融資可能！カードローンランキング≪24hスマホ完結申込≫融資可能か1秒診断。		71.17231801810338
EC	アイシャドウ canmake	【公式】[MASK_0] ONLINE	[MASK_1]([MASK_23])公式通販	1900円以上ご購入で《送料無料》	1000円以下のプチプラコスメなら[MASK_1]／公式通販限定！新商品をいち早くGET・廃盤品も入手可能	《1.5mm極細》クリーミータッチライナー新色登場/ウォータープルーフで汗 皮脂 擦れに強く高発色	64.30259888420414
金融	金融屋	金融で今日中にお金を借りたい	金融ローン人気ランキン グ 2021		"1時間融資も可能な金融会社ランキング2021""スマホ完結""金融ローンが融資可能か1秒診断"		48.890092117541926
金融	融資 保証人不要	連帯保証人なし即日融資ローン	24時間土日祝 最短1時間融資可能		100社以上の実績からキャッシング比較低金利・安心・簡単審査ですぐ借りる！		72.64020295985955
金融	24時間 消費者金融	24時間融資可能な消費者金融	免許証だけで借りれる消費者金融		最短1h融資可能。カードローンランキング≪24hネット完結申込≫融資可能か1秒診断！		86.558361881504
金融	すぐお金を借りたい	どうしても今すぐ借りたい方へ	お金を急ぎでを借りるならどこ？		最短60分でお金を借りる！旦那に内緒でお金を借入可能【今すぐにお金を借りる】.		72.64020295985955
金融	自 営業 融資	審査不安だけど即日融資で借りる	2021年8月即日融資ランキング		"最短60分融資OKな融資ローンランキング""スマホ完結融資""融資可能か1秒診断!融資ローン"		53.716174133549565
金融	バイト でも 借り れる ローン	審査が不安なバイトでも借りる	免許証だけで最短1時間融資可能		最短1h融資可能。カードローンランキング≪24hスマホ完結申込≫融資可能か1秒診断！		81.96570062681658
金融	お金 を 今 すぐ 借り たい	今すぐにお金を借りたい	お金借りたいが審査が不安な方へ		すぐにお金を借りれる金融機関ランキング≪24hネット完結申込≫融資可能か1秒診断		79.5564877739007
EC	コンシーラー キャンメイク	【公式】[MASK_0] ONLINE	[MASK_1]([MASK_23])公式通販	1900円以上ご購入で《送料無料》	1000円以下のプチプラコスメなら[MASK_1]／公式通販限定！新商品をいち早くGET・廃盤品も入手可能	《1.5mm極細》クリーミータッチライナー新色登場/ウォータープルーフで汗 皮脂 擦れに強く高発色	75.36239850340948
